benchmark,m,predictions,mispredictions,misprediction_rate
gcc,7,2000000,532970,26.65
gcc,8,2000000,448572,22.43
gcc,9,2000000,369866,18.49
gcc,10,2000000,313427,15.67
gcc,11,2000000,273003,13.65
gcc,12,2000000,249344,12.47
gcc,13,2000000,234386,11.72
gcc,14,2000000,227415,11.37
gcc,15,2000000,225919,11.3
gcc,16,2000000,224123,11.21
gcc,17,2000000,223729,11.19
gcc,18,2000000,223476,11.17
gcc,19,2000000,223489,11.17
gcc,20,2000000,223489,11.17
jpeg,7,2000000,158454,7.92
jpeg,8,2000000,155757,7.79
jpeg,9,2000000,154753,7.74
jpeg,10,2000000,154097,7.7
jpeg,11,2000000,152314,7.62
jpeg,12,2000000,151950,7.6
jpeg,13,2000000,151818,7.59
jpeg,14,2000000,151753,7.59
jpeg,15,2000000,151704,7.59
jpeg,16,2000000,151705,7.59
jpeg,17,2000000,151705,7.59
jpeg,18,2000000,151705,7.59
jpeg,19,2000000,151705,7.59
jpeg,20,2000000,151705,7.59
perl,7,2000000,426289,21.31
perl,8,2000000,329056,16.45
perl,9,2000000,282848,14.14
perl,10,2000000,238913,11.95
perl,11,2000000,220928,11.05
perl,12,2000000,181800,9.09
perl,13,2000000,178484,8.92
perl,14,2000000,176448,8.82
perl,15,2000000,176386,8.82
perl,16,2000000,176621,8.83
perl,17,2000000,176621,8.83
perl,18,2000000,176621,8.83
perl,19,2000000,176621,8.83
perl,20,2000000,176621,8.83
