benchmark,m,n,predictions,mispredictions,misprediction_rate
gcc,7,0,2000000,532970,26.65
gcc,7,1,2000000,554166,27.71
gcc,7,2,2000000,579675,28.98
gcc,7,3,2000000,599693,29.98
gcc,7,4,2000000,615177,30.76
gcc,7,5,2000000,638009,31.9
gcc,7,6,2000000,664406,33.22
gcc,7,7,2000000,676757,33.84
gcc,8,0,2000000,448572,22.43
gcc,8,1,2000000,465325,23.27
gcc,8,2,2000000,503567,25.18
gcc,8,3,2000000,519131,25.96
gcc,8,4,2000000,531458,26.57
gcc,8,5,2000000,547006,27.35
gcc,8,6,2000000,556476,27.82
gcc,8,7,2000000,591769,29.59
gcc,8,8,2000000,611232,30.56
gcc,9,0,2000000,369866,18.49
gcc,9,1,2000000,376634,18.83
gcc,9,2,2000000,404948,20.25
gcc,9,3,2000000,433345,21.67
gcc,9,4,2000000,448594,22.43
gcc,9,5,2000000,468306,23.42
gcc,9,6,2000000,482866,24.14
gcc,9,7,2000000,496805,24.84
gcc,9,8,2000000,521585,26.08
gcc,9,9,2000000,535800,26.79
gcc,10,0,2000000,313427,15.67
gcc,10,1,2000000,315900,15.79
gcc,10,2,2000000,327851,16.39
gcc,10,3,2000000,349065,17.45
gcc,10,4,2000000,359849,17.99
gcc,10,5,2000000,362190,18.11
gcc,10,6,2000000,387262,19.36
gcc,10,7,2000000,407972,20.4
gcc,10,8,2000000,422021,21.1
gcc,10,9,2000000,438182,21.91
gcc,10,10,2000000,455390,22.77
gcc,11,0,2000000,273003,13.65
gcc,11,1,2000000,272891,13.64
gcc,11,2,2000000,274296,13.71
gcc,11,3,2000000,285883,14.29
gcc,11,4,2000000,289768,14.49
gcc,11,5,2000000,293362,14.67
gcc,11,6,2000000,302761,15.14
gcc,11,7,2000000,315564,15.78
gcc,11,8,2000000,329365,16.47
gcc,11,9,2000000,345512,17.28
gcc,11,10,2000000,366769,18.34
gcc,11,11,2000000,378673,18.93
gcc,12,0,2000000,249344,12.47
gcc,12,1,2000000,240766,12.04
gcc,12,2,2000000,243917,12.2
gcc,12,3,2000000,241853,12.09
gcc,12,4,2000000,244675,12.23
gcc,12,5,2000000,250051,12.5
gcc,12,6,2000000,249123,12.46
gcc,12,7,2000000,253953,12.7
gcc,12,8,2000000,260043,13.0
gcc,12,9,2000000,274794,13.74
gcc,12,10,2000000,286523,14.33
gcc,12,11,2000000,296541,14.83
gcc,12,12,2000000,308098,15.4
gcc,13,0,2000000,234386,11.72
gcc,13,1,2000000,228843,11.44
gcc,13,2,2000000,222102,11.11
gcc,13,3,2000000,215766,10.79
gcc,13,4,2000000,211351,10.57
gcc,13,5,2000000,212862,10.64
gcc,13,6,2000000,211873,10.59
gcc,13,7,2000000,211218,10.56
gcc,13,8,2000000,219904,11.0
gcc,13,9,2000000,226033,11.3
gcc,13,10,2000000,233535,11.68
gcc,13,11,2000000,242622,12.13
gcc,13,12,2000000,253554,12.68
gcc,13,13,2000000,257469,12.87
gcc,14,0,2000000,227415,11.37
gcc,14,1,2000000,215174,10.76
gcc,14,2,2000000,208474,10.42
gcc,14,3,2000000,200857,10.04
gcc,14,4,2000000,193749,9.69
gcc,14,5,2000000,188290,9.41
gcc,14,6,2000000,181578,9.08
gcc,14,7,2000000,183176,9.16
gcc,14,8,2000000,186773,9.34
gcc,14,9,2000000,191331,9.57
gcc,14,10,2000000,196660,9.83
gcc,14,11,2000000,201892,10.09
gcc,14,12,2000000,209513,10.48
gcc,14,13,2000000,217921,10.9
gcc,14,14,2000000,222673,11.13
gcc,15,0,2000000,225919,11.3
gcc,15,1,2000000,211508,10.58
gcc,15,2,2000000,202548,10.13
gcc,15,3,2000000,192889,9.64
gcc,15,4,2000000,182655,9.13
gcc,15,5,2000000,174972,8.75
gcc,15,6,2000000,166079,8.3
gcc,15,7,2000000,164059,8.2
gcc,15,8,2000000,164321,8.22
gcc,15,9,2000000,164589,8.23
gcc,15,10,2000000,169199,8.46
gcc,15,11,2000000,175063,8.75
gcc,15,12,2000000,180288,9.01
gcc,15,13,2000000,184080,9.2
gcc,15,14,2000000,189624,9.48
gcc,15,15,2000000,197053,9.85
gcc,16,0,2000000,224123,11.21
gcc,16,1,2000000,210313,10.52
gcc,16,2,2000000,198515,9.93
gcc,16,3,2000000,186781,9.34
gcc,16,4,2000000,175470,8.77
gcc,16,5,2000000,168323,8.42
gcc,16,6,2000000,157787,7.89
gcc,16,7,2000000,151597,7.58
gcc,16,8,2000000,151306,7.57
gcc,16,9,2000000,149814,7.49
gcc,16,10,2000000,152164,7.61
gcc,16,11,2000000,154380,7.72
gcc,16,12,2000000,157281,7.86
gcc,16,13,2000000,161645,8.08
gcc,16,14,2000000,166826,8.34
gcc,16,15,2000000,171193,8.56
gcc,16,16,2000000,174928,8.75
gcc,17,0,2000000,223729,11.19
gcc,17,1,2000000,208725,10.44
gcc,17,2,2000000,197396,9.87
gcc,17,3,2000000,184345,9.22
gcc,17,4,2000000,172018,8.6
gcc,17,5,2000000,163117,8.16
gcc,17,6,2000000,151176,7.56
gcc,17,7,2000000,146079,7.3
gcc,17,8,2000000,142535,7.13
gcc,17,9,2000000,140896,7.04
gcc,17,10,2000000,142283,7.11
gcc,17,11,2000000,140619,7.03
gcc,17,12,2000000,143145,7.16
gcc,17,13,2000000,146044,7.3
gcc,17,14,2000000,147663,7.38
gcc,17,15,2000000,150921,7.55
gcc,17,16,2000000,154843,7.74
gcc,17,17,2000000,160319,8.02
gcc,18,0,2000000,223476,11.17
gcc,18,1,2000000,208523,10.43
gcc,18,2,2000000,196366,9.82
gcc,18,3,2000000,183510,9.18
gcc,18,4,2000000,170384,8.52
gcc,18,5,2000000,161148,8.06
gcc,18,6,2000000,149083,7.45
gcc,18,7,2000000,142313,7.12
gcc,18,8,2000000,138107,6.91
gcc,18,9,2000000,135295,6.76
gcc,18,10,2000000,134694,6.73
gcc,18,11,2000000,135050,6.75
gcc,18,12,2000000,135527,6.78
gcc,18,13,2000000,136237,6.81
gcc,18,14,2000000,138091,6.9
gcc,18,15,2000000,139733,6.99
gcc,18,16,2000000,143071,7.15
gcc,18,17,2000000,146023,7.3
gcc,18,18,2000000,149733,7.49
gcc,19,0,2000000,223489,11.17
