trace,BLOCKSIZE,L1_SIZE,L1_ASSOC,L2_SIZE,L2_ASSOC,PREF_N,PREF_M,L1_reads,L1_read_misses,L1_writes,L1_write_misses,MRL1,L1_writebacks,L2_reads_not_pref,L2_read_misses_not_pref,L2_reads_from_pref,L2_read_misses_from_pref,L2_writes,L2_write_misses,MRL2,L2_writebacks,L1_prefetches,L2_prefetches,total_mem_traffic,AAT_ns,TRACE
traces/gcc_trace.txt,32,1024,1,0,0,0,0,63640.0,12300.0,36360.0,7046.0,0.1935,8359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27705.0,4.159796,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1024,2,0,0,0,0,63640.0,9623.0,36360.0,5980.0,0.156,7002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22605.0,3.4074530000000003,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1024,4,0,0,0,0,63640.0,8449.0,36360.0,5821.0,0.1427,6689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20959.0,3.13952,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1024,8,0,0,0,0,63640.0,7972.0,36360.0,5655.0,0.1363,6509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20136.0,3.0102770000000003,traces/gcc_trace.txt
traces/gcc_trace.txt,32,1024,32,0,0,0,0,63640.0,8099.0,36360.0,5597.0,0.137,6442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20138.0,3.024146,traces/gcc_trace.txt
traces/gcc_trace.txt,32,2048,1,0,0,0,0,63640.0,8905.0,36360.0,5869.0,0.1477,6713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21487.0,3.240824000000001,traces/gcc_trace.txt
traces/gcc_trace.txt,32,2048,2,0,0,0,0,63640.0,5994.0,36360.0,4720.0,0.1071,5391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16105.0,2.4247639999999997,traces/gcc_trace.txt
traces/gcc_trace.txt,32,2048,4,0,0,0,0,63640.0,5170.0,36360.0,4452.0,0.0962,4942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14564.0,2.205272,traces/gcc_trace.txt
traces/gcc_trace.txt,32,2048,8,0,0,0,0,63640.0,4744.0,36360.0,4325.0,0.0907,4788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13857.0,2.094119,traces/gcc_trace.txt
traces/gcc_trace.txt,32,2048,64,0,0,0,0,63640.0,4585.0,36360.0,4275.0,0.0886,4693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13553.0,2.05211,traces/gcc_trace.txt
