trace,sweep,width,iq_size,rob_size,dynamic_inst,cycles,ipc
gcc,iq,1,8,512,10000,10079,0.990000
gcc,iq,1,16,512,10000,10032,1.000000
gcc,iq,1,32,512,10000,10032,1.000000
gcc,iq,1,64,512,10000,10032,1.000000
gcc,iq,1,128,512,10000,10032,1.000000
gcc,iq,1,256,512,10000,10032,1.000000
gcc,iq,2,8,512,10000,5394,1.850000
gcc,iq,2,16,512,10000,5054,1.980000
gcc,iq,2,32,512,10000,5033,1.990000
gcc,iq,2,64,512,10000,5033,1.990000
gcc,iq,2,128,512,10000,5033,1.990000
gcc,iq,2,256,512,10000,5033,1.990000
gcc,iq,4,8,512,10000,4391,2.280000
gcc,iq,4,16,512,10000,2914,3.430000
gcc,iq,4,32,512,10000,2584,3.870000
gcc,iq,4,64,512,10000,2541,3.940000
gcc,iq,4,128,512,10000,2541,3.940000
gcc,iq,4,256,512,10000,2541,3.940000
gcc,iq,8,8,512,10000,7525,1.330000
gcc,iq,8,16,512,10000,2647,3.780000
gcc,iq,8,32,512,10000,1621,6.170000
gcc,iq,8,64,512,10000,1363,7.340000
gcc,iq,8,128,512,10000,1293,7.730000
gcc,iq,8,256,512,10000,1293,7.730000
gcc,rob,1,16,32,10000,10032,1.000000
gcc,rob,1,16,64,10000,10032,1.000000
gcc,rob,1,16,128,10000,10032,1.000000
gcc,rob,1,16,256,10000,10032,1.000000
gcc,rob,1,16,512,10000,10032,1.000000
gcc,rob,2,32,32,10000,5332,1.880000
gcc,rob,2,32,64,10000,5033,1.990000
gcc,rob,2,32,128,10000,5033,1.990000
gcc,rob,2,32,256,10000,5033,1.990000
gcc,rob,2,32,512,10000,5033,1.990000
gcc,rob,4,64,32,10000,4197,2.380000
gcc,rob,4,64,64,10000,2915,3.430000
gcc,rob,4,64,128,10000,2554,3.920000
gcc,rob,4,64,256,10000,2541,3.940000
gcc,rob,4,64,512,10000,2541,3.940000
gcc,rob,8,128,32,10000,4285,2.330000
gcc,rob,8,128,64,10000,2526,3.960000
gcc,rob,8,128,128,10000,1617,6.180000
gcc,rob,8,128,256,10000,1310,7.630000
gcc,rob,8,128,512,10000,1293,7.730000
perl,iq,1,8,512,10000,10248,0.980000
perl,iq,1,16,512,10000,10044,1.000000
perl,iq,1,32,512,10000,10041,1.000000
perl,iq,1,64,512,10000,10041,1.000000
perl,iq,1,128,512,10000,10041,1.000000
perl,iq,1,256,512,10000,10041,1.000000
perl,iq,2,8,512,10000,6081,1.640000
perl,iq,2,16,512,10000,5335,1.870000
perl,iq,2,32,512,10000,5067,1.970000
perl,iq,2,64,512,10000,5053,1.980000
perl,iq,2,128,512,10000,5053,1.980000
perl,iq,2,256,512,10000,5053,1.980000
perl,iq,4,8,512,10000,5045,1.980000
perl,iq,4,16,512,10000,3552,2.820000
perl,iq,4,32,512,10000,2768,3.610000
perl,iq,4,64,512,10000,2582,3.870000
perl,iq,4,128,512,10000,2570,3.890000
perl,iq,4,256,512,10000,2570,3.890000
perl,iq,8,8,512,10000,7768,1.290000
perl,iq,8,16,512,10000,3474,2.880000
perl,iq,8,32,512,10000,2117,4.720000
perl,iq,8,64,512,10000,1478,6.770000
perl,iq,8,128,512,10000,1344,7.440000
perl,iq,8,256,512,10000,1325,7.550000
perl,rob,1,16,32,10000,10044,1.000000
perl,rob,1,16,64,10000,10044,1.000000
perl,rob,1,16,128,10000,10044,1.000000
perl,rob,1,16,256,10000,10044,1.000000
perl,rob,1,16,512,10000,10044,1.000000
perl,rob,2,64,32,10000,5584,1.790000
perl,rob,2,64,64,10000,5065,1.970000
perl,rob,2,64,128,10000,5053,1.980000
perl,rob,2,64,256,10000,5053,1.980000
perl,rob,2,64,512,10000,5053,1.980000
perl,rob,4,128,32,10000,4563,2.190000
perl,rob,4,128,64,10000,3161,3.160000
perl,rob,4,128,128,10000,2611,3.830000
perl,rob,4,128,256,10000,2570,3.890000
perl,rob,4,128,512,10000,2570,3.890000
perl,rob,8,256,32,10000,4581,2.180000
perl,rob,8,256,64,10000,2845,3.510000
perl,rob,8,256,128,10000,1866,5.360000
perl,rob,8,256,256,10000,1418,7.050000
perl,rob,8,256,512,10000,1325,7.550000
