BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace
32,8,8,,1,0,,2,0,,,,gcc.trace.txt
16,4,32,,2,256,,1,0,,,,gcc.trace.txt
32,4,8,,8,256,,0,2,,,,gcc.trace.txt
16,8,4096,0.0727,4,131072,0.6478,0,0,,0,,gcc.trace.txt
16,8,64,,1,128,,1,0,,,,gcc.trace.txt
16,2,64,,8,0,,1,1,,,,gcc.trace.txt
32,2,32,,2,512,,1,0,,,,gcc.trace.txt
16,2,8,,1,0,,2,1,,,,gcc.trace.txt
32,1,32,0.6165,2,256,0.4952,0,1,,0,,gcc.trace.txt
16,4,32,,1,128,,2,1,,,,gcc.trace.txt
16,8,64,,4,512,,0,2,,,,gcc.trace.txt
16,1,16,,8,0,,2,0,,,,gcc.trace.txt
32,1,1024,0.1935,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,4,16,,4,128,,2,0,,,,gcc.trace.txt
16,4,8,,8,256,,1,1,,,,gcc.trace.txt
32,1,32,,4,0,,2,1,,,,gcc.trace.txt
32,1,16,,4,0,,2,2,,,,gcc.trace.txt
32,1,32,0.6165,4,512,0.3262,2,2,,0,,gcc.trace.txt
16,8,64,,2,256,,2,1,,,,gcc.trace.txt
16,1,16,0.6836,8,256,0.3769,2,2,,0,,gcc.trace.txt
32,4,8,,4,128,,1,1,,,,gcc.trace.txt
64,8,4096,0.0599,2,524288,0.2424,0,0,,0,,gcc.trace.txt
16,4,8,,1,512,,1,0,,,,gcc.trace.txt
16,8,16,,4,128,,2,2,,,,gcc.trace.txt
16,1,16384,0.0672,4,131072,0.7017,0,0,,0,,gcc.trace.txt
32,4,8,,4,0,,1,0,,,,gcc.trace.txt
16,1,64,0.4967,4,512,0.3986,1,1,,0,,gcc.trace.txt
32,8,32,,2,256,,1,2,,,,gcc.trace.txt
64,2,2048,0.1158,0,0,0.0,0,0,,0,,gcc.trace.txt
16,2,64,0.4721,4,256,0.5566,0,0,,0,,gcc.trace.txt
16,4,8,,4,128,,0,2,,,,gcc.trace.txt
32,2,32,,8,128,,2,0,,,,gcc.trace.txt
16,2,16,,1,0,,1,2,,,,gcc.trace.txt
16,2,32,,1,0,,1,1,,,,gcc.trace.txt
32,1,64,0.5338,4,512,0.3768,1,1,,0,,gcc.trace.txt
16,8,32,,2,256,,1,2,,,,gcc.trace.txt
32,8,8,,8,256,,0,0,,,,gcc.trace.txt
64,4,16384,0.0204,8,524288,0.71,0,0,,0,,gcc.trace.txt
32,2,64,0.5039,4,256,0.5652,0,0,,0,,gcc.trace.txt
16,2,32,0.5666,8,128,0.6102,2,0,,0,,gcc.trace.txt
64,2,32768,0.0183,2,131072,0.7985,0,0,,0,,gcc.trace.txt
32,1,8,,2,0,,1,2,,,,gcc.trace.txt
16,4,64,0.4645,1,128,0.78,1,2,,0,,gcc.trace.txt
32,1,8,,4,128,,0,0,,,,gcc.trace.txt
16,2,8,,1,256,,1,0,,,,gcc.trace.txt
64,2,32768,0.0183,8,262144,0.793,0,0,,0,,gcc.trace.txt
16,4,16,,1,0,,0,0,,,,gcc.trace.txt
16,1,8,,1,512,,0,1,,,,gcc.trace.txt
32,1,8,,1,512,,1,2,,,,gcc.trace.txt
16,4,64,0.4645,4,512,0.4263,0,0,,0,,gcc.trace.txt
32,1,16,,8,256,,2,2,,,,gcc.trace.txt
32,1,2048,0.1477,8,16384,0.1878,0,0,,0,,gcc.trace.txt
16,2,8,,2,128,,2,1,,,,gcc.trace.txt
32,2,8,,4,0,,0,2,,,,gcc.trace.txt
32,8,16,,4,128,,2,2,,,,gcc.trace.txt
16,2,32,0.5666,2,512,0.3743,1,0,,0,,gcc.trace.txt
32,2,8,,8,512,,0,2,,,,gcc.trace.txt
32,8,16384,0.0277,2,262144,0.9319,0,0,,0,,gcc.trace.txt
16,1,32,0.5884,2,256,0.4808,0,1,,0,,gcc.trace.txt
32,4,32,,1,128,,2,1,,,,gcc.trace.txt
16,8,8,,1,512,,1,2,,,,gcc.trace.txt
16,4,16,,4,128,,2,0,,,,gcc.trace.txt
