BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace,amat,log2_L1_SIZE,log2_BLOCKSIZE,is_fa,assoc_label
32,1,1024,0.1935,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,20.35,10.0,5.0,False,1
32,4,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,20.0,5.0,False,4
32,1,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,19.0,5.0,False,1
32,2,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,18.0,5.0,False,2
32,2,2048,0.1071,8,16384,0.2585,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.625335,11.0,5.0,False,2
32,4,4096,0.0599,8,32768,0.4381,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.103419000000001,12.0,5.0,False,4
32,2,8192,0.0473,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,5.73,13.0,5.0,False,2
32,1,4096,0.1002,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,11.02,12.0,5.0,False,1
16,4,16384,0.0482,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,5.82,14.0,4.0,False,4
32,2,1024,0.156,8,16384,0.1775,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,5.017,10.0,5.0,False,2
