===== Simulator configuration =====
BLOCKSIZE:  64
L1_SIZE:    32768
L1_ASSOC:   1
L2_SIZE:    131072
L2_ASSOC:   8
PREF_N:     0
PREF_M:     0
trace_file: ../traces/gcc_trace.txt

===== L1 contents =====
set      0: 8006 D
set      1: 8006 D
set      2: 8006 D
set      3: 8006 D
set      4: 8006 D
set      5: 8006 D
set      6: 8006 D
set      7: 8006 D
set      8: 8007 D
set      9: 8009  
set     10: 8007 D
set     11: 8006 D
set     12: 8006 D
set     13: 8006 D
set     14: 8006 D
set     15: 8007  
set     16: 8006 D
set     17: 8006 D
set     18: 8006 D
set     19: 8006 D
set     20: 8006 D
set     21: 8006 D
set     22: 8006 D
set     23: 8006 D
set     24: 8006 D
set     25: 8006 D
set     26: 8006 D
set     27: 8006 D
set     28: 8006 D
set     29: 8006 D
set     30: 8006 D
set     31: 8006 D
set     32: 8006 D
set     33: 8006 D
set     34: 8006 D
set     35: 8006 D
set     36: 8006 D
set     37: 8006 D
set     38: 8006 D
set     39: 8006 D
set     40: 8006 D
set     41: 8006 D
set     42: 8006 D
set     43: 8006 D
set     44: 8006 D
set     45: 8006 D
set     46: 8006 D
set     47: 8006 D
set     48: 8006 D
set     49: 8006 D
set     50: 8006 D
set     51: 8006 D
set     52: 8006 D
set     53: 8006 D
set     54: 8006 D
set     55: 8006 D
set     56: 8006 D
set     57: 8006 D
set     58: 8006 D
set     59: 8006 D
set     60: 8006 D
set     61: 8006 D
set     62: 8006 D
set     63: 8006 D
set     64: 8006 D
set     65: 8006 D
set     66: 8006 D
set     67: 8006 D
set     68: 8006 D
set     69: 8006 D
set     70: 8006 D
set     71: 8006 D
set     72: 8006 D
set     73: 8005  
set     74: 8000  
set     75: 8000  
set     76: 8000  
set     77: 8000  
set     78: 8006 D
set     79: 800a D
set     80: 8006  
set     81: 8006  
set     82: 8006  
set     83: 8006  
set     84: 800a D
set     85: 800a D
set     86: 8006 D
set     87: 800a D
set     88: 800a D
set     89: 800a D
set     90: 800a D
set     91: 800a D
set     92: 800a D
set     93: 800a D
set     94: 800a D
set     95: 800a D
set     96: 800a D
set     97: 800a D
set     98: 800a D
set     99: 800a D
set    100: 800a D
set    101: 800a D
set    102: 800a D
set    103: 800a D
set    104: 800a D
set    105: 800a D
set    106: 800a D
set    107: 800a D
set    108: 800a D
set    109: 800a D
set    110: 800a D
set    111: 8006 D
set    112: 800a D
set    113: 800a D
set    114: 800a D
set    115: 1bf  
set    116: 800a D
set    117: 800a D
set    118: 800a D
set    119: 800a D
set    120: 8007  
set    121: 846a  
set    122: 8006 D
set    123: 8007 D
set    124: 1bf  
set    125: 8006 D
set    126: 8006 D
set    127: 8006 D
set    128:
set    129:
set    130:
set    131: 8006 D
set    132: 8000  
set    133: 8006 D
set    134:
set    135: 8007 D
set    136: 8007 D
set    137: 8007 D
set    138: 8006 D
set    139: 1bf  
set    140: 8006 D
set    141: 8006 D
set    142: 8007 D
set    143: 8007 D
set    144: 8006 D
set    145: 8006 D
set    146: 8006 D
set    147: 8006 D
set    148: 8006 D
set    149:
set    150: 8005 D
set    151: 8000  
set    152: 8005 D
set    153: 8008  
set    154: 8006 D
set    155: 1bf  
set    156: 8006 D
set    157:
set    158: 8005 D
set    159: 8007 D
set    160: 8005 D
set    161: 8000  
set    162: 8008  
set    163:
set    164:
set    165: 8008 D
set    166: 8008 D
set    167: 8008 D
set    168: 8008 D
set    169: 8008 D
set    170: 8008 D
set    171: 8008 D
set    172: 8008 D
set    173: 8008 D
set    174: 8008 D
set    175: 8008 D
set    176: 8008 D
set    177: 8008 D
set    178: 8008 D
set    179: 8008 D
set    180: 8008 D
set    181: 8008 D
set    182: 8008 D
set    183: 8008 D
set    184: 800a D
set    185: 800a D
set    186: 800a D
set    187: 800a D
set    188: 800a D
set    189: 800a D
set    190: 800a D
set    191: 8006 D
set    192: 8006 D
set    193: 8006 D
set    194: 800a D
set    195: 800a D
set    196: 800a D
set    197: 800a D
set    198: 800a D
set    199: 800a D
set    200: 800a D
set    201: 800a D
set    202: 800a D
set    203: 800a D
set    204: 800a D
set    205: 800a D
set    206: 800a D
set    207: 8008 D
set    208: 800a D
set    209: 800a D
set    210: 800a D
set    211: 8008 D
set    212: 800a D
set    213: 800a D
set    214: 800a D
set    215: 800a D
set    216: 800a D
set    217: 800a D
set    218: 800a D
set    219: 8008 D
set    220: 800a D
set    221: 800a D
set    222: 800a D
set    223: 800a D
set    224: 800a D
set    225: 800a D
set    226: 800a D
set    227: 800a D
set    228: f606 D
set    229: f606 D
set    230: 800a D
set    231: 800a D
set    232: f606 D
set    233: 800a D
set    234: 800a D
set    235: 800a D
set    236: 800a D
set    237: 800a D
set    238: 800a D
set    239: 800a D
set    240: 800a D
set    241: 800a D
set    242: 800a D
set    243: 800a D
set    244: 800a D
set    245: 800a D
set    246: 800a D
set    247: 800a D
set    248: 800a D
set    249: 800a D
set    250: 800a D
set    251: 800a D
set    252: 800a D
set    253: 800a D
set    254: 800a D
set    255: 800a D
set    256: 800a D
set    257: 800a D
set    258: 800a D
set    259: 800a D
set    260: 800a D
set    261: 800a D
set    262: 800a D
set    263: 800a D
set    264: 800a D
set    265: 800a D
set    266: 800a D
set    267: 800a D
set    268: 800a D
set    269: 800a D
set    270: 800a D
set    271: 800a D
set    272: 800a D
set    273: 800a D
set    274: 800a D
set    275: 800a D
set    276: 800a D
set    277: 800a D
set    278: 8008 D
set    279: 8008 D
set    280: 8008 D
set    281: 8008 D
set    282: 800a D
set    283: 8008 D
set    284: 800a D
set    285: 800a D
set    286: 800a D
set    287: 800a D
set    288: 800a D
set    289: 800a D
set    290: 800a D
set    291: 8007 D
set    292: 800a D
set    293: 800a D
set    294: 800a D
set    295: 800a D
set    296: 800a D
set    297: 800a D
set    298: 800a D
set    299: 800a D
set    300: 800a D
set    301: 800a D
set    302: 800a D
set    303: 800a D
set    304: 800a D
set    305: 800a D
set    306: 800a D
set    307: 800a D
set    308: 800a D
set    309: 800a D
set    310: 800a D
set    311: 800a D
set    312: 800a D
set    313: 800a D
set    314: 800a D
set    315: 800a D
set    316: 800a D
set    317: 800a D
set    318: 8003  
set    319: 8006 D
set    320: 800a D
set    321: 800a D
set    322: 800a D
set    323: 800a D
set    324: 800a D
set    325: 800a D
set    326: 800a D
set    327: 8006 D
set    328: 800a D
set    329: 800a D
set    330: 8005 D
set    331: 800a D
set    332: 800a D
set    333: 800a D
set    334: 800a D
set    335: 8006 D
set    336: 800a D
set    337: 800a D
set    338: 800a D
set    339: 800a D
set    340: 8006  
set    341: 8006  
set    342: 8006  
set    343: 800a D
set    344: 8006  
set    345: 800a D
set    346: 800a D
set    347: 800a D
set    348: 800a D
set    349: 8006 D
set    350: 8006 D
set    351: 800a D
set    352: 800a D
set    353: 8006 D
set    354: 8006 D
set    355: 8006 D
set    356: 800a D
set    357: 800a D
set    358: 800a D
set    359: 800a D
set    360: 800a D
set    361: 800a D
set    362: 8006 D
set    363: 8006 D
set    364: 800a D
set    365: 800a D
set    366: 8006 D
set    367: 8006 D
set    368: 800a D
set    369: 800a D
set    370: 800a D
set    371: 800a D
set    372: 800a D
set    373: 8006  
set    374: 800a D
set    375: 800a D
set    376: 800a D
set    377: 800a D
set    378: 800a D
set    379: 8006 D
set    380: 800a D
set    381: 800a D
set    382: 8006 D
set    383: 800a D
set    384: 800a D
set    385: 8006 D
set    386: 800a D
set    387: 800a D
set    388: 800a D
set    389: 800a D
set    390: 800a D
set    391: 800a D
set    392: 800a D
set    393: 800a D
set    394: 800a D
set    395: 8007 D
set    396: 8007 D
set    397: 8007 D
set    398: 8007 D
set    399: 8007 D
set    400: 8007 D
set    401: 8007 D
set    402: 8006 D
set    403: 8006 D
set    404: 8006 D
set    405: 8006 D
set    406: 8007  
set    407: 8006 D
set    408: 8007 D
set    409: 8007 D
set    410: 8007 D
set    411: 8009  
set    412: 8008  
set    413: 8009 D
set    414: 8006 D
set    415: 8006 D
set    416: 8007 D
set    417: 8009 D
set    418: 8009 D
set    419: 8009 D
set    420: 8009 D
set    421: 8009 D
set    422: 8007 D
set    423: 8009 D
set    424: 8009 D
set    425: 8009 D
set    426: 8009 D
set    427: 8009 D
set    428: 8006 D
set    429: 8006 D
set    430: 8007 D
set    431: 8007 D
set    432: 8009  
set    433: 8007 D
set    434: 8009  
set    435: 8007 D
set    436: 8009 D
set    437: 8009 D
set    438: 8009 D
set    439: 8006 D
set    440: 8006 D
set    441: 8007 D
set    442: 8009 D
set    443: 8009 D
set    444: 8007 D
set    445: 8003  
set    446: 8003  
set    447: 8003  
set    448: 8007 D
set    449: 8009 D
set    450: 8003  
set    451: 8009 D
set    452: 8009  
set    453: 8009 D
set    454: 8003  
set    455: 8007 D
set    456: 8009 D
set    457: 8009 D
set    458: 8003  
set    459: 8003  
set    460: 8003  
set    461: 8009 D
set    462: 8005 D
set    463: 8009 D
set    464: 8005 D
set    465: 8005 D
set    466: 8005  
set    467: 8003  
set    468: 8003  
set    469: 8003  
set    470: 8004  
set    471: 8004  
set    472: 8004  
set    473: 8004  
set    474: 8009 D
set    475: 8006 D
set    476: 8005 D
set    477: 8005 D
set    478: 8005 D
set    479: 8005 D
set    480: 8005 D
set    481: 8006 D
set    482: 8005 D
set    483: 8006 D
set    484: 8007 D
set    485: 8007 D
set    486: 8005 D
set    487: 8007 D
set    488: 8007 D
set    489: 8007 D
set    490: 8007 D
set    491: 8005 D
set    492: 8007 D
set    493: 8005 D
set    494: 8006 D
set    495: 8007 D
set    496: 8005 D
set    497: 8005 D
set    498: 8005 D
set    499: 8007 D
set    500: 8007 D
set    501: 8005 D
set    502: 8007 D
set    503: 8005 D
set    504: 8005 D
set    505: 8005 D
set    506: 8008  
set    507: 8008  
set    508: 8008  
set    509: 8008  
set    510: 8008  
set    511: 8005 D

===== L2 contents =====
set      0: 10015   10011 D 1000c   10014 D 1000d D 37e  
set      1: 10015   10011 D 1000c   10014 D 1000d D 37e   108ec  
set      2: 10015   10011 D 1000c   10014 D 1000d D
set      3: 10015   10011 D 1000c   10014 D 1000d D e1  
set      4: 10015   10011 D 1000c   10014 D 1000d D 37e   e1  
set      5: 10015   10011 D 1000c   10014 D 1000d D
set      6: 10015   10011 D 1000c   10014 D 1000d D
set      7: 10015   10011 D 1000c   10014 D 1000d D
set      8: 1000e   1000c D 10015   10011 D 10014 D 1000d D
set      9: 10012   1000e D 1000c D 10015   10011 D 1000d D 10014 D 1084f  
set     10: 10015   10011 D 1000e   1000c D 1000d D 10014 D 10012   37e  
set     11: 10015   10011 D 1000c   10014 D 1000d D 10012 D
set     12: 10015   10011 D 1000c   10014 D 1000d D 10012   108ec   1084f  
set     13: 10015   10011 D 1000c   10014 D 1000d D 10853 D 10012   108ec  
set     14: 10015   10011 D 1000c   10014 D 1000d D 1ec0d D 10012   108ec  
set     15: 1000e   1000c D 10015   10011 D 1000d D 1ec0d D 10012 D 10014 D
set     16: 10015   10011 D 1000c   1000d D 10012   10014 D 108ec   37e  
set     17: 10015   10011 D 1000c   10014 D 1000d D 10012   108ec   37e  
set     18: 10015   10011 D 1000c   10014 D 1000d D 10853 D 10012   1ec0d D
set     19: 10015   10011 D 1000c   10014 D 1000d D 1ec0d D 37e  
set     20: 10015   10011 D 1000c   10014 D 1000d D 1ec0d D 108ec  
set     21: 10015   10011 D 1000c   10014 D 1000d D 10853  
set     22: 10011 D 10015 D 1000c   10014 D 1000d D 1ec0d   10853 D
set     23: 10011   10015 D 1000d D 1000c   10014 D 37e   1ec0d  
set     24: 10011   10015 D 1000d D 1000c   10014 D 37e  
set     25: 10011   10015 D 1000d D 1000c   10014 D 37e  
set     26: 10015   1000d D 1000c   10014 D 10013   10853 D 37e  
set     27: 10011 D 10015 D 1000d D 1000c   10014 D 10013  
set     28: 10015   1000d D 1000c   10014 D 10013   37e  
set     29: 10015   1000d D 1000c   10014 D 37e  
set     30: 10015   1000d D 1000c   10014 D 10853 D
set     31: 10015   1000d D 1000c   10014 D
set     32: 10015   1000d D 1000c   10014 D 10013   10853   37e  
set     33: 10015   1000d D 1000c   10014 D 10853 D 108ec D 1004e D
set     34: 10015   1000d D 1000c   10014 D 10013   10853 D
set     35: 1000f   10015 D 1000d D 1000c   10014 D 10013   37e  
set     36: 10015   1000d D 1000c   10014 D 1004e D 10853  
set     37: 10015   1000d D 1000c   10014 D 1000f D 1004e D 10853  
