===== Simulator configuration =====
BLOCKSIZE:  16
L1_SIZE:    1024
L1_ASSOC:   1
L2_SIZE:    0
L2_ASSOC:   0
PREF_N:     0
PREF_M:     0
trace_file: /Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt

===== L1 contents =====
set      0: f D
set      1: f D
set      2: f D
set      3: f D
set      4: f D
set      5: f D
set      6: f D
set      7: f D
set      8: f D
set      9: f D
set     10: f D
set     11: f D
set     12: f D
set     13: f D
set     14: f D
set     15: f D
set     16: f D
set     17: f D
set     18: f D
set     19: f D
set     20: f D
set     21: f D
set     22: f D
set     23: f D
set     24: f D
set     25: f D
set     26: f D
set     27: f D
set     28: f D
set     29: f D
set     30: f D
set     31: f D
set     32: f D
set     33: f D
set     34: f D
set     35: f D
set     36: f D
set     37: f D
set     38: f D
set     39: f D
set     40: f D
set     41: f D
set     42: f D
set     43: f D
set     44: f D
set     45: f D
set     46: f D
set     47: f D
set     48: f D
set     49: f D
set     50: f D
set     51: f D
set     52: f D
set     53: f D
set     54: f D
set     55: f D
set     56: f D
set     57: f D
set     58: f D
set     59: f D
set     60: f D
set     61: f D
set     62: f D
set     63: f D

===== Measurements =====
a. L1 reads:                   4096
b. L1 read misses:             4096
c. L1 writes:                  2048
d. L1 write misses:            2048
e. L1 miss rate:               1.0000
f. L1 writebacks:              1984
g. L1 prefetches:              0
h. L2 reads (demand):          0
i. L2 read misses (demand):    0
j. L2 reads (prefetch):        0
k. L2 read misses (prefetch):  0
l. L2 writes:                  0
m. L2 write misses:            0
n. L2 miss rate:               0.0000
o. L2 writebacks:              0
p. L2 prefetches:              0
q. memory traffic:             8128
